sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mesano_cnm1,mesano_sent,casos_novos_2026,julgados_2026,prim_sent2026,suspensos_2026,dessobrestados_2026,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ARAUCARIA,15497,50ª ZONA ELEITORAL-ARAUCÁRIA,Dez 2025,Set 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASSAI,15488,35ª ZONA ELEITORAL-ASSAÍ,Dez 2025,Ago 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASSAI,15488,35ª ZONA ELEITORAL-ASSAÍ,Dez 2025,Ago 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASSAI,15488,35ª ZONA ELEITORAL-ASSAÍ,Dez 2025,Fev 2017,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASSAI,15488,35ª ZONA ELEITORAL-ASSAÍ,Dez 2025,Jan 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASSAI,15488,35ª ZONA ELEITORAL-ASSAÍ,Dez 2025,Nov 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASSIS CHATEAUBRIAND,15550,113ª ZONA ELEITORAL-ASSIS CHATEAUBRIAND,Dez 2025,Fev 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASSIS CHATEAUBRIAND,15550,113ª ZONA ELEITORAL-ASSIS CHATEAUBRIAND,Dez 2025,Nov 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASSIS CHATEAUBRIAND,15550,113ª ZONA ELEITORAL-ASSIS CHATEAUBRIAND,Dez 2025,Set 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASTORGA,15512,67ª ZONA ELEITORAL-ASTORGA,Dez 2025,Ago 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASTORGA,15512,67ª ZONA ELEITORAL-ASTORGA,Dez 2025,Jan 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASTORGA,15512,67ª ZONA ELEITORAL-ASTORGA,Dez 2025,Jun 2019,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASTORGA,15512,67ª ZONA ELEITORAL-ASTORGA,Dez 2025,Mar 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASTORGA,15512,67ª ZONA ELEITORAL-ASTORGA,Dez 2025,Nov 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,ASTORGA,15512,67ª ZONA ELEITORAL-ASTORGA,Dez 2025,Out 2019,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BANDEIRANTES,15505,58ª ZONA ELEITORAL-BANDEIRANTES,Dez 2025,Abr 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BANDEIRANTES,15505,58ª ZONA ELEITORAL-BANDEIRANTES,Dez 2025,Ago 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BANDEIRANTES,15505,58ª ZONA ELEITORAL-BANDEIRANTES,Dez 2025,Jun 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BANDEIRANTES,15505,58ª ZONA ELEITORAL-BANDEIRANTES,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BANDEIRANTES,15505,58ª ZONA ELEITORAL-BANDEIRANTES,Dez 2025,Out 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARBOSA FERRAZ,15570,133ª ZONA ELEITORAL-BARBOSA FERRAZ,Dez 2025,Dez 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARBOSA FERRAZ,15570,133ª ZONA ELEITORAL-BARBOSA FERRAZ,Dez 2025,Jul 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARBOSA FERRAZ,15570,133ª ZONA ELEITORAL-BARBOSA FERRAZ,Dez 2025,Jun 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARBOSA FERRAZ,15570,133ª ZONA ELEITORAL-BARBOSA FERRAZ,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARBOSA FERRAZ,15570,133ª ZONA ELEITORAL-BARBOSA FERRAZ,Dez 2025,Nov 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARRACAO,15568,131ª ZONA ELEITORAL-BARRACÃO,Dez 2025,Abr 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARRACAO,15568,131ª ZONA ELEITORAL-BARRACÃO,Dez 2025,Ago 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARRACAO,15568,131ª ZONA ELEITORAL-BARRACÃO,Dez 2025,Fev 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARRACAO,15568,131ª ZONA ELEITORAL-BARRACÃO,Dez 2025,Jan 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARRACAO,15568,131ª ZONA ELEITORAL-BARRACÃO,Dez 2025,Jun 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BARRACAO,15568,131ª ZONA ELEITORAL-BARRACÃO,Dez 2025,Nov 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BELA VISTA DO PARAISO,15519,77ª ZONA ELEITORAL-BELA VISTA DO PARAÍSO,Dez 2025,Abr 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BELA VISTA DO PARAISO,15519,77ª ZONA ELEITORAL-BELA VISTA DO PARAÍSO,Dez 2025,Jan 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BELA VISTA DO PARAISO,15519,77ª ZONA ELEITORAL-BELA VISTA DO PARAÍSO,Dez 2025,Jan 2026,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRE-PR,Conhecimento criminal,Justiça Eleitoral,G1,PR,BELA VISTA DO PARAISO,15519,77ª ZONA ELEITORAL-BELA VISTA DO PARAÍSO,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
