sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mesano_cnm1,mesano_sent,casos_novos_2026,julgados_2026,prim_sent2026,suspensos_2026,dessobrestados_2026,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BELFORD ROXO,15183,154ª ZONA ELEITORAL,Dez 2025,Nov 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BELFORD ROXO,15183,154ª ZONA ELEITORAL,Dez 2025,Nov 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BELFORD ROXO,15183,154ª ZONA ELEITORAL,Dez 2025,Set 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BELFORD ROXO,15183,154ª ZONA ELEITORAL,Dez 2025,Set 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BELFORD ROXO,15184,155ª ZONA ELEITORAL,Dez 2025,Jul 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BELFORD ROXO,15184,155ª ZONA ELEITORAL,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BELFORD ROXO,15184,155ª ZONA ELEITORAL,Dez 2025,Nov 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BELFORD ROXO,15184,155ª ZONA ELEITORAL,Dez 2025,Out 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BOM JARDIM,15009,42ª ZONA ELEITORAL,Dez 2025,Fev 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BOM JARDIM,15009,42ª ZONA ELEITORAL,Dez 2025,Mar 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BOM JARDIM,15009,42ª ZONA ELEITORAL,Dez 2025,Nov 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BOM JARDIM,15009,42ª ZONA ELEITORAL,Dez 2025,Nov 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BOM JARDIM,15009,42ª ZONA ELEITORAL,,Abr 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BOM JESUS DO ITABAPOANA,15083,95ª ZONA ELEITORAL,Dez 2025,Dez 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,BOM JESUS DO ITABAPOANA,15083,95ª ZONA ELEITORAL,Dez 2025,Fev 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CABO FRIO,15084,96ª ZONA ELEITORAL,Dez 2025,Ago 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CABO FRIO,15084,96ª ZONA ELEITORAL,Dez 2025,Mai 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CABO FRIO,15084,96ª ZONA ELEITORAL,Dez 2025,Mar 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CABO FRIO,15295,256ª ZONA ELEITORAL,Dez 2025,Ago 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CABO FRIO,15295,256ª ZONA ELEITORAL,Dez 2025,Dez 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CABO FRIO,15295,256ª ZONA ELEITORAL,Dez 2025,Fev 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CABO FRIO,15295,256ª ZONA ELEITORAL,Dez 2025,Mai 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CABO FRIO,15295,256ª ZONA ELEITORAL,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CABO FRIO,15295,256ª ZONA ELEITORAL,Dez 2025,Out 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CACHOEIRAS DE MACACU,15016,49ª ZONA ELEITORAL,Dez 2025,Ago 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CACHOEIRAS DE MACACU,15016,49ª ZONA ELEITORAL,Dez 2025,Dez 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CACHOEIRAS DE MACACU,15016,49ª ZONA ELEITORAL,Dez 2025,Mai 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CACHOEIRAS DE MACACU,15016,49ª ZONA ELEITORAL,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CAMBUCI,15085,97ª ZONA ELEITORAL,Dez 2025,Abr 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CAMBUCI,15085,97ª ZONA ELEITORAL,Dez 2025,Dez 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CAMBUCI,15085,97ª ZONA ELEITORAL,Dez 2025,Fev 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CAMBUCI,15085,97ª ZONA ELEITORAL,Dez 2025,Fev 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CAMBUCI,15085,97ª ZONA ELEITORAL,Dez 2025,Jun 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CAMBUCI,15085,97ª ZONA ELEITORAL,Dez 2025,Nov 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CAMBUCI,15085,97ª ZONA ELEITORAL,Dez 2025,Set 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-RJ,Conhecimento criminal,Justiça Eleitoral,G1,RJ,CAMPOS DOS GOYTACAZES,15056,75ª ZONA ELEITORAL,Dez 2025,Ago 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
